 03152 +5552 -00352 0275 2 Salsburgh            GB 2
 03153 +5448 -00400 0114 2 Dundrennan           GB 2
 03154 +5503 -00339 0016 2 Dumfries Drung       GB 2
 03155 +5537 -00344 0245 2 Drumalbin            GB 2
 03158 +5542 -00223 0112 2 Charterhall          GB 2
 03160 +5557 -00321 0041 2 Edinburgh            GB 2
 03162 +5519 -00312 0242 2 Eskdalemuir          GB 2
 03165 +5503 -00233 0325 2 Spadeadam            GB 2
 03168 +5536 -00254 0146 2 Galashiels           GB 2
 03170 +5626 -00252 0004 2 Shanwell             GB 2
 03171 +5623 -00252 0012 2 Leuchars             GB 2
 03174 +5618 -00235 0006 2 Fife NESS            GB 2
 03176 +5522 -00231 0308 2 Carterhouse          GB 2
 03204 +5405 -00438 0017 2 Isle of Man          GB 2
 03205 +5403 -00450 0093 2 Calf of Man          GB 2
 03208 +5425 -00422 0009 2 Point Of Ayre        GB 2
 03210 +5431 -00336 0124 2 St.Bees Head         GB 2
 03212 +5437 -00309 0081 2 Keswick              GB 2
 03213 +5419 -00324 0008 2 Eskmeals             GB 2
 03214 +5407 -00315 0015 2 Walney Island        GB 2
 03215 +5446 -00319 0061 2 Aspatria             GB 2
 03220 +5456 -00258 0028 2 Carlisle             GB 2
 03222 +5456 -00257 0026 2 Carlisle             GB 2
 03225 +5430 -00241 0249 2 Shap                 GB 2
 03226 +5434 -00225 0227 2 Warcop               GB 2
 03228 +5440 -00242 0125 2 Whins Pond           GB 2
 03229 +5441 -00227 0847 2 Great Dun Fell       GB 2
 03230 +5517 -00217 0207 2 Redesdale            GB 2
 03240 +5525 -00136 0023 2 Boulmer              GB 2
 03241 +5518 -00148 0158 2 Long Framlingt       GB 2
 03242 +5449 -00143 0244 2 Burnhope             GB 2
 03246 +5459 -00136 0030 2 Newcastle            GB 2
 03257 +5418 -00132 0040 2 Leeming              GB 2
 03262 +5501 -00125 0030 2 Tynemouth            GB 2
 03266 +5403 -00115 0016 2 Linton-on-Ouse       GB 2
 03271 +5438 -00108 0012 2 Teesmouth            GB 2
 03281 +5422 -00040 0262 2 Fylingdales          GB 2
 03282 +5429 -00036 0060 2 Whitby               GB 2
 03291 +5407 -00005 0046 2 Flamborough          GB 2
 03292 +5406 +00010 0015 2 Bridlington          GB 2
 03302 +5315 -00432 0011 2 Valley               GB 2
 03303 +5323 -00422 0114 2 Amlwch               GB 2
 03308 +5304 -00405 1070 2 Snowdon Summit       GB 2
